comments,disposition,incident,location,occurred,predicted_incident,reported,reported_date,season,ucpd_id,validated_address,validated_location
A patient struck a UCM staff member and was arrested by UCPD officer,Arrest,Battery,5815 S. Maryland Ave. (Mitchell Hospital),5/14/25 8:45 AM,,2025-05-14 08:48:00-05:00,2025-05-14,Spring,25-00566,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504]
Lost property reported,Closed,Lost Property,5800 S. Greenwood Ave. (Main Quad),5/13/25 7:00 PM to 9:30 PM,,2025-05-14 02:35:00-05:00,2025-05-14,Spring,25-00565,"5800 South Greenwood Avenue, Chicago, Il 60637",[ 41.794205  -87.5996903]
UCPD officers found a vehicle parked in the structure that had been reported stolen to CPD / CPD notified / Vehicle returned to owner / CPD case JJ252553,CPD,Assist Other Agency,1306 E. 61st St. (S. Kimbark Ave. Parking Structure),5/13/25 9:30 PM,,2025-05-13 21:36:00-05:00,2025-05-13,Spring,25-00564,"1306 E 61st St, Chicago, Il, 60637",[ 41.78425046 -87.59381503]
An unknown subject took merchandise from the off-campus store without paying / CPD case,CPD,Information / Theft,1346 E. 53rd St. (Target),5/13/25 4:55 PM,,2025-05-13 17:05:00-05:00,2025-05-13,Spring,2025-020719,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282]
Harassing emails documented,Closed,Information,5720 S. Ellis Ave. (Kersten Physics),5/13/25 4:05 PM,Attempted,2025-05-13 16:50:00-05:00,2025-05-13,Spring,25-00563,"5720 S Ellis Ave, Chicago, Il, 60637",[ 41.79097835 -87.60136727]
Unknown person struck a motorist in a road rage situation / CPD case,CPD,Information / Battery,5003 S. Woodlawn Ave. (Public Way),5/13/25 4:20 PM,,2025-05-13 16:24:00-05:00,2025-05-13,Spring,2025-020714,"5003 S Woodlawn Ave, Chicago, Il, 60615",[ 41.80359321 -87.59664662]
A suspicious person's actions were documented by UCPD,Closed,Information,5800 S. Dorchester Ave. (Public Way),5/13/25 12:46 AM,,2025-05-13 00:46:00-05:00,2025-05-13,Spring,25-00562,"5800 S Dorchester Ave, Chicago, Il, 60637",[ 41.78959781 -87.59162917]
An unknown suspect took a camera and monitor from work site before entering a waiting vehicle that drove off / CPD case,CPD,Information / Theft,4800 S. Drexel Ave. (Public Way),5/12/25 9:25 AM,,2025-05-12 21:27:00-05:00,2025-05-12,Spring,2025-020532,"4800 S Drexel Blvd, Chicago, Il, 60615",[ 41.8076788  -87.60440919]
A person was transported to UCMED by CFD EMS for evaluation,Closed,Medical Transport,5200 S. Lake Park Ave. (McDonalds),5/12/25 9:01 PM,,2025-05-12 21:02:00-05:00,2025-05-12,Spring,25-00561,"5200 S Lake Park Ave, Chicago, Il, 60615",[ 41.80096769 -87.58756061]
A person on a CTA bus was battered by multiple unknown suspects / CPD case JJ252106,CPD,Information / Battery,5200 S. Lake Park Ave. (CTA Bus),5/12/25 5:00 PM,,2025-05-12 17:01:00-05:00,2025-05-12,Spring,2025-020588,"5200 S Lake Park Ave, Chicago, Il, 60615",[ 41.80096769 -87.58756061]
A suspect forcibly entered a work van parked on the street off-campus and was taking tools when owner appeared / Suspect arrested by UCPD officers / Charged with felony burglary,Arrest,Theft from Motor Vehicle,5742 S. Stony Island Ave. (Public Way),5/12/25 2:34 PM,,2025-05-12 14:34:00-05:00,2025-05-12,Spring,25-00560,"5742 S Stony Island Ave, Chicago, Il, 60637",[ 41.79052074 -87.58676868]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1346 E. 53rd St. (Target),5/12/25 12:39 PM,,2025-05-12 12:40:00-05:00,2025-05-12,Spring,2025-020554,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282]
Individual registered as sex offender as required by state of Illinois,Closed,Information,850 E. 61st St. (UCPD HQ),5/12/25 8:12 AM,,2025-05-12 08:12:00-05:00,2025-05-12,Spring,25-00559,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A UCM staff member found narcotics among a patient's belongings / Contraband turned over to UCPD for proper disposal,Closed,Found Narcotic,5656 S. Maryland Ave. (UCMED),5/11/25 11:51 PM,,2025-05-11 23:51:00-05:00,2025-05-11,Spring,25-00558,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
Food delivery dispute documented,Closed,Information,1101 E. 56th St. (Max Palevsky RH),5/11/25 9:00 PM to 9:45 PM,,2025-05-11 22:31:00-05:00,2025-05-11,Spring,25-00557,"1101 E 56th St, Chicago, Il, 60637",[ 41.79317186 -87.59966242]
A parked 2015 Hyundai was taken by unknown suspect(s) / Referred to CPD,Referred,Information / Motor Vehicle Theft,5300 S. Shore Dr. (Public Way),5/11/25 6:45 PM to 9:35 PM,,2025-05-11 21:38:00-05:00,2025-05-11,Spring,2025-020463,"5300 S Shore Dr, Chicago, Il, 60615",[ 41.79958758 -87.58239487]
An unknown motorist struck a vehicle parked on the street and drove off without stopping,Open,Traffic Crash / Property Damage / Hit and Run,1105 E. 55th St. (Public Way),5/11/25 6:10 PM to 6:15 PM,,2025-05-11 19:15:00-05:00,2025-05-11,Spring,25-00556,"1105 E 55th St, Chicago, Il, 60615",[ 41.79497578 -87.59950811]
